"","ID","JobTitle","FulltimeParttime","PositionTitle","Level","Scool","Day","Entrance","Exit"
"1",1,"ADFA Administrative","Part-Time","Mgr. Laser, Safety & Comp.","6","SEIT","Friday","8:30-9:00","17:00-17:30"
"2",1,"ADFA Administrative","Part-Time","Mgr. Laser, Safety & Comp.","6","SEIT","Monday","8:00-8:30","16:00-16:30"
"3",1,"ADFA Administrative","Part-Time","Mgr. Laser, Safety & Comp.","6","SEIT","Thursday","7:30-8:00","16:30-17:00"
"4",1,"ADFA Administrative","Part-Time","Mgr. Laser, Safety & Comp.","6","SEIT","Tuesday","8:00-8:30","16:30-17:00"
"5",1,"ADFA Administrative","Part-Time","Mgr. Laser, Safety & Comp.","6","SEIT","Wednesday","8:00-8:30","17:00-17:30"
"6",2,"Professor","Full-Time","Professor","E","SEIT","Friday","9:00-9:30","16:30-17:00"
"7",2,"Professor","Full-Time","Professor","E","SEIT","Monday","8:30-9:00","15:30-16:00"
"8",2,"Professor","Full-Time","Professor","E","SEIT","Thursday","8:30-9:00","16:30-17:00"
"9",2,"Professor","Full-Time","Professor","E","SEIT","Tuesday","8:00-8:30","17:30-18:00"
"10",2,"Professor","Full-Time","Professor","E","SEIT","Wednesday","8:30-9:00","17:30-18:00"
"11",4,"Director","Full-Time","Director of Int. Student Rec","E","SEIT","Friday","8:00-8:30","15:00-15:30"
"12",4,"Director","Full-Time","Director of Int. Student Rec","E","SEIT","Wednesday","8:00-8:30","16:30-17:00"
"13",6,"Associate Professor","Full-Time","Associate Professor","D","SEIT","Friday","8:00-8:30","16:30-17:00"
"14",6,"Associate Professor","Full-Time","Associate Professor","D","SEIT","Tuesday","8:00-8:30","16:30-17:00"
"15",6,"Associate Professor","Full-Time","Associate Professor","D","SEIT","Wednesday","8:30-9:00","16:30-17:00"
"16",18,"ADFA Technical Staff","Full-Time","Electronics Engineering Lead","6","SEIT","Friday","8:00-8:30","16:30-17:00"
"17",18,"ADFA Technical Staff","Full-Time","Electronics Engineering Lead","6","SEIT","Monday","8:30-9:00","17:30-18:00"
"18",18,"ADFA Technical Staff","Full-Time","Electronics Engineering Lead","6","SEIT","Saturday","8:00-8:30","16:30-17:00"
"19",18,"ADFA Technical Staff","Full-Time","Electronics Engineering Lead","6","SEIT","Thursday","8:30-9:00","15:00-15:30"
"20",18,"ADFA Technical Staff","Full-Time","Electronics Engineering Lead","6","SEIT","Tuesday","8:00-8:30","16:30-17:00"
"21",18,"ADFA Technical Staff","Full-Time","Electronics Engineering Lead","6","SEIT","Wednesday","8:00-8:30","17:00-17:30"
"22",19,"Associate Professor","Full-Time","Associate Professor","D","SEIT","Friday","8:30-9:00","16:00-16:30"
"23",19,"Associate Professor","Full-Time","Associate Professor","D","SEIT","Monday","8:00-8:30","17:00-17:30"
"24",19,"Associate Professor","Full-Time","Associate Professor","D","SEIT","Thursday","8:30-9:00","16:00-16:30"
"25",19,"Associate Professor","Full-Time","Associate Professor","D","SEIT","Tuesday","8:30-9:00","17:00-17:30"
"26",19,"Associate Professor","Full-Time","Associate Professor","D","SEIT","Wednesday","8:30-9:00","16:00-16:30"
"27",20,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Friday","8:30-9:00","17:00-17:30"
"28",20,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Monday","8:00-8:30","16:00-16:30"
"29",20,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Thursday","8:00-8:30","16:00-16:30"
"30",21,"Lecturer","Full-Time","Lecturer","B","SEIT","Friday","8:30-9:00","15:30-16:00"
"31",21,"Lecturer","Full-Time","Lecturer","B","SEIT","Monday","8:00-8:30","16:00-16:30"
"32",21,"Lecturer","Full-Time","Lecturer","B","SEIT","Thursday","8:30-9:00","17:00-17:30"
"33",21,"Lecturer","Full-Time","Lecturer","B","SEIT","Tuesday","8:00-8:30","16:30-17:00"
"34",21,"Lecturer","Full-Time","Lecturer","B","SEIT","Wednesday","8:00-8:30","16:00-16:30"
"35",22,"Lecturer","Full-Time","Lecturer","B","SEIT","Friday","8:30-9:00","16:30-17:00"
"36",22,"Lecturer","Full-Time","Lecturer","B","SEIT","Monday","8:00-8:30","16:00-16:30"
"37",22,"Lecturer","Full-Time","Lecturer","B","SEIT","Thursday","7:30-8:00","17:00-17:30"
"38",22,"Lecturer","Full-Time","Lecturer","B","SEIT","Tuesday","8:00-8:30","15:30-16:00"
"39",22,"Lecturer","Full-Time","Lecturer","B","SEIT","Wednesday","8:30-9:00","15:30-16:00"
"40",23,"ADFA Technical Staff","Full-Time","Technical Officer Electronics","3","SEIT","Friday","8:00-8:30","16:30-17:00"
"41",23,"ADFA Technical Staff","Full-Time","Technical Officer Electronics","3","SEIT","Monday","8:00-8:30","16:30-17:00"
"42",23,"ADFA Technical Staff","Full-Time","Technical Officer Electronics","3","SEIT","Sunday","8:30-9:00","16:30-17:00"
"43",23,"ADFA Technical Staff","Full-Time","Technical Officer Electronics","3","SEIT","Thursday","8:00-8:30","15:30-16:00"
"44",23,"ADFA Technical Staff","Full-Time","Technical Officer Electronics","3","SEIT","Tuesday","8:00-8:30","17:00-17:30"
"45",23,"ADFA Technical Staff","Full-Time","Technical Officer Electronics","3","SEIT","Wednesday","8:30-9:00","16:30-17:00"
"46",25,"Professor","Full-Time","Professor","E","SEIT","Friday","8:30-9:00","16:00-16:30"
"47",25,"Professor","Full-Time","Professor","E","SEIT","Monday","8:30-9:00","16:00-16:30"
"48",25,"Professor","Full-Time","Professor","E","SEIT","Thursday","8:30-9:00","17:00-17:30"
"49",25,"Professor","Full-Time","Professor","E","SEIT","Tuesday","8:00-8:30","15:00-15:30"
"50",25,"Professor","Full-Time","Professor","E","SEIT","Wednesday","8:00-8:30","15:30-16:00"
"51",26,"ADFA Administrative","Full-Time","Client Service Officer","8","SEIT","Friday","8:30-9:00","16:00-16:30"
"52",26,"ADFA Administrative","Full-Time","Client Service Officer","8","SEIT","Monday","7:00-7:30","16:00-16:30"
"53",26,"ADFA Administrative","Full-Time","Client Service Officer","8","SEIT","Thursday","8:30-9:00","16:00-16:30"
"54",26,"ADFA Administrative","Full-Time","Client Service Officer","8","SEIT","Tuesday","8:00-8:30","16:00-16:30"
"55",26,"ADFA Administrative","Full-Time","Client Service Officer","8","SEIT","Wednesday","8:00-8:30","15:00-15:30"
"56",27,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Monday","7:00-7:30","16:30-17:00"
"57",27,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Thursday","8:00-8:30","17:30-18:00"
"58",27,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Tuesday","9:00-9:30","16:00-16:30"
"59",27,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Wednesday","8:30-9:00","17:00-17:30"
"60",28,"ADFA Administrative","Full-Time","Technical Officer - Electrical","6","SEIT","Friday","8:00-8:30","15:00-15:30"
"61",28,"ADFA Administrative","Full-Time","Technical Officer - Electrical","6","SEIT","Monday","8:00-8:30","15:00-15:30"
"62",28,"ADFA Administrative","Full-Time","Technical Officer - Electrical","6","SEIT","Thursday","8:30-9:00","17:00-17:30"
"63",28,"ADFA Administrative","Full-Time","Technical Officer - Electrical","6","SEIT","Tuesday","8:00-8:30","16:00-16:30"
"64",28,"ADFA Administrative","Full-Time","Technical Officer - Electrical","6","SEIT","Wednesday","7:30-8:00","16:30-17:00"
"65",31,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Friday","8:30-9:00","16:00-16:30"
"66",31,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Monday","8:00-8:30","16:00-16:30"
"67",31,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Thursday","8:00-8:30","16:30-17:00"
"68",31,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Tuesday","8:30-9:00","16:30-17:00"
"69",31,"Senior Lecturer","Full-Time","Senior Lecturer","C","SEIT","Wednesday","7:00-7:30","16:30-17:00"
"70",34,"ADFA Technical Staff","Full-Time","Space Systems Engineer","3","SEIT","Friday","9:30-10:00","16:00-16:30"
"71",34,"ADFA Technical Staff","Full-Time","Space Systems Engineer","3","SEIT","Monday","8:00-8:30","16:00-16:30"
"72",34,"ADFA Technical Staff","Full-Time","Space Systems Engineer","3","SEIT","Thursday","8:00-8:30","16:00-16:30"
"73",34,"ADFA Technical Staff","Full-Time","Space Systems Engineer","3","SEIT","Tuesday","8:00-8:30","16:00-16:30"
"74",34,"ADFA Technical Staff","Full-Time","Space Systems Engineer","3","SEIT","Wednesday","8:00-8:30","17:00-17:30"
"75",36,"Scientia Fellow (Level D)","Full-Time","Scientia Fellow","D","SEIT","Friday","8:00-8:30","15:30-16:00"
"76",36,"Scientia Fellow (Level D)","Full-Time","Scientia Fellow","D","SEIT","Thursday","8:00-8:30","15:30-16:00"
"77",36,"Scientia Fellow (Level D)","Full-Time","Scientia Fellow","D","SEIT","Tuesday","8:00-8:30","16:30-17:00"
"78",37,"Senior Research Associate","Full-Time","Senior Research Associate","A","SEIT","Friday","8:00-8:30","16:30-17:00"
"79",37,"Senior Research Associate","Full-Time","Senior Research Associate","A","SEIT","Monday","8:00-8:30","16:30-17:00"
"80",37,"Senior Research Associate","Full-Time","Senior Research Associate","A","SEIT","Thursday","8:00-8:30","17:00-17:30"
"81",37,"Senior Research Associate","Full-Time","Senior Research Associate","A","SEIT","Tuesday","8:30-9:00","17:00-17:30"
"82",37,"Senior Research Associate","Full-Time","Senior Research Associate","A","SEIT","Wednesday","8:30-9:00","16:00-16:30"
