"","ID","Career","Gender","AdmitTerm","School","Day","Entrance","Exit"
"1",1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","15:30-16:00"
"2",1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","9:30-10:00","15:30-16:00"
"3",1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","7:00-7:30","16:00-16:30"
"4",1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","7:00-7:30","15:00-15:30"
"5",1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","9:00-9:30","16:30-17:00"
"6",4,"PGRD","M","Semester 1 2018","HASS","Friday","8:30-9:00","17:30-18:00"
"7",4,"PGRD","M","Semester 1 2018","HASS","Thursday","8:30-9:00","15:30-16:00"
"8",4,"PGRD","M","Semester 1 2018","HASS","Wednesday","8:30-9:00","15:30-16:00"
"9",6,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","15:30-16:00"
"10",6,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","16:00-16:30"
"11",6,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","16:00-16:30"
"12",8,"PGRD","M","Semester 1 Canberra 2020","BUS","Monday","8:00-8:30","15:30-16:00"
"13",8,"PGRD","M","Semester 1 Canberra 2020","BUS","Thursday","8:00-8:30","15:00-15:30"
"14",8,"PGRD","M","Semester 1 Canberra 2020","BUS","Tuesday","7:00-7:30","16:30-17:00"
"15",8,"PGRD","M","Semester 1 Canberra 2020","BUS","Wednesday","8:00-8:30","16:30-17:00"
"16",12,"UGRD","M","Semester 1 2015","SEIT","Friday","8:00-8:30","16:00-16:30"
"17",12,"UGRD","M","Semester 1 2015","SEIT","Monday","8:30-9:00","16:00-16:30"
"18",12,"UGRD","M","Semester 1 2015","SEIT","Thursday","8:30-9:00","16:00-16:30"
"19",12,"UGRD","M","Semester 1 2015","SEIT","Tuesday","7:30-8:00","16:30-17:00"
"20",12,"UGRD","M","Semester 1 2015","SEIT","Wednesday","7:00-7:30","16:00-16:30"
"21",14,"PGRD","M","Semester 1 2017","SEIT","Friday","8:30-9:00","16:00-16:30"
"22",14,"PGRD","M","Semester 1 2017","SEIT","Thursday","8:30-9:00","15:00-15:30"
"23",14,"PGRD","M","Semester 1 2017","SEIT","Tuesday","8:00-8:30","16:30-17:00"
"24",14,"PGRD","M","Semester 1 2017","SEIT","Wednesday","8:00-8:30","16:30-17:00"
"25",15,"PGRD","M","Semester 2 2012","SEIT","Monday","8:30-9:00","16:00-16:30"
"26",15,"PGRD","M","Semester 2 2012","SEIT","Tuesday","8:00-8:30","17:00-17:30"
