ID,JobTitle,FulltimeParttime,PositionTitle,AcademicProfessional,Level,School,Day,Entrance,Exit
1,ADFA Administrative,Part-Time,"Mgr. Laser, Safety & Comp.",Professional,6,SEIT,Friday,8:30-9:00,17:00-17:30
1,ADFA Administrative,Part-Time,"Mgr. Laser, Safety & Comp.",Professional,6,SEIT,Monday,8:00-8:30,16:00-16:30
1,ADFA Administrative,Part-Time,"Mgr. Laser, Safety & Comp.",Professional,6,SEIT,Thursday,7:30-8:00,16:30-17:00
1,ADFA Administrative,Part-Time,"Mgr. Laser, Safety & Comp.",Professional,6,SEIT,Tuesday,8:00-8:30,16:30-17:00
1,ADFA Administrative,Part-Time,"Mgr. Laser, Safety & Comp.",Professional,6,SEIT,Wednesday,8:00-8:30,17:00-17:30
2,Professor,Full-Time,Professor,Academic,E,SEIT,Friday,9:00-9:30,16:30-17:00
2,Professor,Full-Time,Professor,Academic,E,SEIT,Monday,8:30-9:00,15:30-16:00
2,Professor,Full-Time,Professor,Academic,E,SEIT,Thursday,8:30-9:00,16:30-17:00
2,Professor,Full-Time,Professor,Academic,E,SEIT,Tuesday,8:00-8:30,17:30-18:00
2,Professor,Full-Time,Professor,Academic,E,SEIT,Wednesday,8:30-9:00,17:30-18:00
3,Director,Full-Time,"Director, UNSW Canberra Space",Academic,E,SEIT,Friday,8:00-8:30,17:30-18:00
3,Director,Full-Time,"Director, UNSW Canberra Space",Academic,E,SEIT,Monday,8:00-8:30,16:30-17:00
3,Director,Full-Time,"Director, UNSW Canberra Space",Academic,E,SEIT,Thursday,9:30-10:00,15:30-16:00
4,Director,Full-Time,Director of Int. Student Rec,Academic,E,SEIT,Friday,8:00-8:30,15:00-15:30
4,Director,Full-Time,Director of Int. Student Rec,Academic,E,SEIT,Wednesday,8:00-8:30,16:30-17:00
5,Senior Lecturer,Full-Time,(Leave) Senior Lecturer,Academic,C,SEIT,Friday,7:30-8:00,16:30-17:00
5,Senior Lecturer,Full-Time,(Leave) Senior Lecturer,Academic,C,SEIT,Monday,8:00-8:30,17:00-17:30
