"ID","Career","Gender","AdmitTerm","School","Day","Entrance","Exit"
1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","15:30-16:00"
1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","9:30-10:00","15:30-16:00"
1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","7:00-7:30","16:00-16:30"
1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","7:00-7:30","15:00-15:30"
1,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","9:00-9:30","16:30-17:00"
2,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","16:00-16:30"
2,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","7:00-7:30","17:30-18:00"
2,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","15:00-15:30"
2,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:30-9:00","16:00-16:30"
4,"PGRD","M","Semester 1 2018","HASS","Friday","8:30-9:00","17:30-18:00"
4,"PGRD","M","Semester 1 2018","HASS","Thursday","8:30-9:00","15:30-16:00"
4,"PGRD","M","Semester 1 2018","HASS","Wednesday","8:30-9:00","15:30-16:00"
5,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","7:30-8:00","15:30-16:00"
5,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","15:00-15:30"
6,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","15:30-16:00"
6,"PGRD","M","Semester 1 Canberra 2020","SEIT","Tuesday","8:00-8:30","16:00-16:30"
6,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:00-8:30","16:00-16:30"
7,"PGRD","F","Semester 1 2018","BUS","Monday","8:30-9:00","16:00-16:30"
7,"PGRD","F","Semester 1 2018","BUS","Tuesday","8:00-8:30","16:00-16:30"
8,"PGRD","M","Semester 1 Canberra 2020","BUS","Monday","8:00-8:30","15:30-16:00"
8,"PGRD","M","Semester 1 Canberra 2020","BUS","Thursday","8:00-8:30","15:00-15:30"
8,"PGRD","M","Semester 1 Canberra 2020","BUS","Tuesday","7:00-7:30","16:30-17:00"
8,"PGRD","M","Semester 1 Canberra 2020","BUS","Wednesday","8:00-8:30","16:30-17:00"
9,"PGRD","M","Semester 2 Canberra 2019","SEIT","Friday","8:00-8:30","16:00-16:30"
9,"PGRD","M","Semester 2 Canberra 2019","SEIT","Monday","8:30-9:00","15:30-16:00"
9,"PGRD","M","Semester 2 Canberra 2019","SEIT","Thursday","9:00-9:30","15:30-16:00"
9,"PGRD","M","Semester 2 Canberra 2019","SEIT","Tuesday","8:00-8:30","15:30-16:00"
9,"PGRD","M","Semester 2 Canberra 2019","SEIT","Wednesday","7:30-8:00","16:30-17:00"
10,"PGRD","M","Semester 1 Canberra 2020","SEIT","Friday","8:30-9:00","16:00-16:30"
10,"PGRD","M","Semester 1 Canberra 2020","SEIT","Monday","8:00-8:30","16:30-17:00"
10,"PGRD","M","Semester 1 Canberra 2020","SEIT","Thursday","8:30-9:00","16:30-17:00"
10,"PGRD","M","Semester 1 Canberra 2020","SEIT","Wednesday","8:30-9:00","16:30-17:00"
11,"PGRD","M","Semester 2 2013","SEIT","Friday","8:30-9:00","15:30-16:00"
11,"PGRD","M","Semester 2 2013","SEIT","Wednesday","8:00-8:30","15:30-16:00"
12,"UGRD","M","Semester 1 2015","SEIT","Friday","8:00-8:30","16:00-16:30"
12,"UGRD","M","Semester 1 2015","SEIT","Monday","8:30-9:00","16:00-16:30"
12,"UGRD","M","Semester 1 2015","SEIT","Thursday","8:30-9:00","16:00-16:30"
12,"UGRD","M","Semester 1 2015","SEIT","Tuesday","7:30-8:00","16:30-17:00"
12,"UGRD","M","Semester 1 2015","SEIT","Wednesday","7:00-7:30","16:00-16:30"
14,"PGRD","M","Semester 1 2017","SEIT","Friday","8:30-9:00","16:00-16:30"
14,"PGRD","M","Semester 1 2017","SEIT","Thursday","8:30-9:00","15:00-15:30"
14,"PGRD","M","Semester 1 2017","SEIT","Tuesday","8:00-8:30","16:30-17:00"
14,"PGRD","M","Semester 1 2017","SEIT","Wednesday","8:00-8:30","16:30-17:00"
15,"PGRD","M","Semester 2 2012","SEIT","Monday","8:30-9:00","16:00-16:30"
15,"PGRD","M","Semester 2 2012","SEIT","Tuesday","8:00-8:30","17:00-17:30"
16,"PGRD","M","Semester 1 2013","SEIT","Friday","8:00-8:30","16:30-17:00"
16,"PGRD","M","Semester 1 2013","SEIT","Monday","8:00-8:30","16:30-17:00"
16,"PGRD","M","Semester 1 2013","SEIT","Tuesday","7:30-8:00","15:30-16:00"
