ID,Day,T1,T2,T1_T2,Entrance,Exit,Count
Monday_0:00-0:30,Monday,0:00,0:30,0:00-0:30,0,0,0
Monday_0:30-1:00,Monday,0:30,1:00,0:30-1:00,0,0,0
Monday_1:00-1:30,Monday,1:00,1:30,1:00-1:30,0,0,0
Monday_1:30-2:00,Monday,1:30,2:00,1:30-2:00,0,0,0
Monday_2:00-2:30,Monday,2:00,2:30,2:00-2:30,0,0,0
Monday_2:30-3:00,Monday,2:30,3:00,2:30-3:00,0,0,0
Monday_3:00-3:30,Monday,3:00,3:30,3:00-3:30,0,0,0
Monday_3:30-4:00,Monday,3:30,4:00,3:30-4:00,0,0,0
Monday_4:00-4:30,Monday,4:00,4:30,4:00-4:30,0,0,0
Monday_4:30-5:00,Monday,4:30,5:00,4:30-5:00,0,0,0
Monday_5:00-5:30,Monday,5:00,5:30,5:00-5:30,0,0,0
Monday_5:30-6:00,Monday,5:30,6:00,5:30-6:00,0,0,0
Monday_6:00-6:30,Monday,6:00,6:30,6:00-6:30,0,0,0
Monday_6:30-7:00,Monday,6:30,7:00,6:30-7:00,0,0,0
Monday_7:00-7:30,Monday,7:00,7:30,7:00-7:30,0,0,0
Monday_7:30-8:00,Monday,7:30,8:00,7:30-8:00,0,0,0
Monday_8:00-8:30,Monday,8:00,8:30,8:00-8:30,0,0,0
Monday_8:30-9:00,Monday,8:30,9:00,8:30-9:00,0,0,0
Monday_9:00-9:30,Monday,9:00,9:30,9:00-9:30,0,0,0
Monday_9:30-10:00,Monday,9:30,10:00,9:30-10:00,0,0,0
Monday_10:00-10:30,Monday,10:00,10:30,10:00-10:30,0,0,0
Monday_10:30-11:00,Monday,10:30,11:00,10:30-11:00,0,0,0
Monday_11:00-11:30,Monday,11:00,11:30,11:00-11:30,0,0,0
Monday_11:30-12:00,Monday,11:30,12:00,11:30-12:00,0,0,0
Monday_12:00-12:30,Monday,12:00,12:30,12:00-12:30,0,0,0
Monday_12:30-13:00,Monday,12:30,13:00,12:30-13:00,0,0,0
Monday_13:00-13:30,Monday,13:00,13:30,13:00-13:30,0,0,0
Monday_13:30-14:00,Monday,13:30,14:00,13:30-14:00,0,0,0
Monday_14:00-14:30,Monday,14:00,14:30,14:00-14:30,0,0,0
Monday_14:30-15:00,Monday,14:30,15:00,14:30-15:00,0,0,0
Monday_15:00-15:30,Monday,15:00,15:30,15:00-15:30,0,0,0
Monday_15:30-16:00,Monday,15:30,16:00,15:30-16:00,0,0,0
Monday_16:00-16:30,Monday,16:00,16:30,16:00-16:30,0,0,0
Monday_16:30-17:00,Monday,16:30,17:00,16:30-17:00,0,0,0
Monday_17:00-17:30,Monday,17:00,17:30,17:00-17:30,0,0,0
Monday_17:30-18:00,Monday,17:30,18:00,17:30-18:00,0,0,0
Monday_18:00-18:30,Monday,18:00,18:30,18:00-18:30,0,0,0
Monday_18:30-19:00,Monday,18:30,19:00,18:30-19:00,0,0,0
Monday_19:00-19:30,Monday,19:00,19:30,19:00-19:30,0,0,0
Monday_19:30-20:00,Monday,19:30,20:00,19:30-20:00,0,0,0
Monday_20:00-20:30,Monday,20:00,20:30,20:00-20:30,0,0,0
Monday_20:30-21:00,Monday,20:30,21:00,20:30-21:00,0,0,0
Monday_21:00-21:30,Monday,21:00,21:30,21:00-21:30,0,0,0
Monday_21:30-22:00,Monday,21:30,22:00,21:30-22:00,0,0,0
Monday_22:00-22:30,Monday,22:00,22:30,22:00-22:30,0,0,0
Monday_22:30-23:00,Monday,22:30,23:00,22:30-23:00,0,0,0
Monday_23:00-23:30,Monday,23:00,23:30,23:00-23:30,0,0,0
Monday_23:30-0:00,Monday,23:30,0:00,23:30-0:00,0,0,0
Tuesday_0:00-0:30,Tuesday,0:00,0:30,0:00-0:30,0,0,0
Tuesday_0:30-1:00,Tuesday,0:30,1:00,0:30-1:00,0,0,0
Tuesday_1:00-1:30,Tuesday,1:00,1:30,1:00-1:30,0,0,0
Tuesday_1:30-2:00,Tuesday,1:30,2:00,1:30-2:00,0,0,0
Tuesday_2:00-2:30,Tuesday,2:00,2:30,2:00-2:30,0,0,0
Tuesday_2:30-3:00,Tuesday,2:30,3:00,2:30-3:00,0,0,0
Tuesday_3:00-3:30,Tuesday,3:00,3:30,3:00-3:30,0,0,0
Tuesday_3:30-4:00,Tuesday,3:30,4:00,3:30-4:00,0,0,0
Tuesday_4:00-4:30,Tuesday,4:00,4:30,4:00-4:30,0,0,0
Tuesday_4:30-5:00,Tuesday,4:30,5:00,4:30-5:00,0,0,0
Tuesday_5:00-5:30,Tuesday,5:00,5:30,5:00-5:30,0,0,0
Tuesday_5:30-6:00,Tuesday,5:30,6:00,5:30-6:00,0,0,0
Tuesday_6:00-6:30,Tuesday,6:00,6:30,6:00-6:30,0,0,0
Tuesday_6:30-7:00,Tuesday,6:30,7:00,6:30-7:00,0,0,0
Tuesday_7:00-7:30,Tuesday,7:00,7:30,7:00-7:30,0,0,0
Tuesday_7:30-8:00,Tuesday,7:30,8:00,7:30-8:00,0,0,0
Tuesday_8:00-8:30,Tuesday,8:00,8:30,8:00-8:30,0,0,0
Tuesday_8:30-9:00,Tuesday,8:30,9:00,8:30-9:00,0,0,0
Tuesday_9:00-9:30,Tuesday,9:00,9:30,9:00-9:30,0,0,0
Tuesday_9:30-10:00,Tuesday,9:30,10:00,9:30-10:00,0,0,0
Tuesday_10:00-10:30,Tuesday,10:00,10:30,10:00-10:30,0,0,0
Tuesday_10:30-11:00,Tuesday,10:30,11:00,10:30-11:00,0,0,0
Tuesday_11:00-11:30,Tuesday,11:00,11:30,11:00-11:30,0,0,0
Tuesday_11:30-12:00,Tuesday,11:30,12:00,11:30-12:00,0,0,0
Tuesday_12:00-12:30,Tuesday,12:00,12:30,12:00-12:30,0,0,0
Tuesday_12:30-13:00,Tuesday,12:30,13:00,12:30-13:00,0,0,0
Tuesday_13:00-13:30,Tuesday,13:00,13:30,13:00-13:30,0,0,0
Tuesday_13:30-14:00,Tuesday,13:30,14:00,13:30-14:00,0,0,0
Tuesday_14:00-14:30,Tuesday,14:00,14:30,14:00-14:30,0,0,0
Tuesday_14:30-15:00,Tuesday,14:30,15:00,14:30-15:00,0,0,0
Tuesday_15:00-15:30,Tuesday,15:00,15:30,15:00-15:30,0,0,0
Tuesday_15:30-16:00,Tuesday,15:30,16:00,15:30-16:00,0,0,0
Tuesday_16:00-16:30,Tuesday,16:00,16:30,16:00-16:30,0,0,0
Tuesday_16:30-17:00,Tuesday,16:30,17:00,16:30-17:00,0,0,0
Tuesday_17:00-17:30,Tuesday,17:00,17:30,17:00-17:30,0,0,0
Tuesday_17:30-18:00,Tuesday,17:30,18:00,17:30-18:00,0,0,0
Tuesday_18:00-18:30,Tuesday,18:00,18:30,18:00-18:30,0,0,0
Tuesday_18:30-19:00,Tuesday,18:30,19:00,18:30-19:00,0,0,0
Tuesday_19:00-19:30,Tuesday,19:00,19:30,19:00-19:30,0,0,0
Tuesday_19:30-20:00,Tuesday,19:30,20:00,19:30-20:00,0,0,0
Tuesday_20:00-20:30,Tuesday,20:00,20:30,20:00-20:30,0,0,0
