"","ID","WeeklyTrips","School","Level","FulltimeParttime"
"1",1,5,"SEIT","6","Part-Time"
"2",2,5,"SEIT","E","Full-Time"
"3",4,2,"SEIT","E","Full-Time"
"4",6,3,"SEIT","D","Full-Time"
"5",18,6,"SEIT","6","Full-Time"
"6",19,5,"SEIT","D","Full-Time"
"7",20,3,"SEIT","C","Full-Time"
"8",21,5,"SEIT","B","Full-Time"
"9",22,5,"SEIT","B","Full-Time"
"10",23,6,"SEIT","3","Full-Time"
"11",25,5,"SEIT","E","Full-Time"
"12",26,5,"SEIT","8","Full-Time"
"13",27,4,"SEIT","C","Full-Time"
"14",28,5,"SEIT","6","Full-Time"
"15",31,5,"SEIT","C","Full-Time"
"16",34,5,"SEIT","3","Full-Time"
"17",36,3,"SEIT","D","Full-Time"
"18",37,5,"SEIT","A","Full-Time"
"19",38,5,"SEIT","A","Full-Time"
"20",39,2,"SEIT","A","Full-Time"
"21",40,2,"SEIT","C","Full-Time"
"22",41,4,"SEIT","A","Full-Time"
"23",42,5,"SEIT","A","Full-Time"
"24",43,4,"SEIT","C","Full-Time"
"25",45,4,"SEIT","B","Full-Time"
"26",47,2,"SEIT","E","Full-Time"
"27",48,4,"SEIT","A","Part-Time"
"28",49,5,"SEIT","A","Part-Time"
"29",51,5,"SEIT","7","Full-Time"
"30",52,4,"SEIT","E","Full-Time"
"31",53,4,"SEIT","A","Full-Time"
"32",54,5,"SEIT","3","Full-Time"
"33",55,5,"SEIT","A","Full-Time"
"34",57,3,"SEIT","A","Full-Time"
"35",58,5,"SEIT","A","Full-Time"
"36",60,3,"SEIT","C","Full-Time"
"37",61,4,"SEIT","C","Full-Time"
"38",64,3,"SEIT","A","Full-Time"
"39",65,3,"SEIT","C","Full-Time"
"40",66,5,"SEIT","B","Full-Time"
"41",69,2,"SEIT","C","Full-Time"
"42",70,5,"SEIT","C","Full-Time"
"43",71,3,"SEIT","C","Full-Time"
"44",72,4,"SEIT","B","Full-Time"
"45",76,4,"SEIT","D","Full-Time"
"46",77,5,"SEIT","A","Full-Time"
"47",78,4,"SEIT","C","Full-Time"
"48",79,5,"SEIT","7","Full-Time"
"49",83,5,"SEIT","D","Full-Time"
"50",84,5,"SEIT","5","Part-Time"
"51",85,4,"SEIT","D","Full-Time"
"52",86,5,"SEIT","2","Full-Time"
"53",88,5,"SEIT","A","Full-Time"
"54",89,5,"SEIT","C","Full-Time"
"55",90,5,"SEIT","B","Full-Time"
"56",91,2,"SEIT","1","Full-Time"
"57",92,5,"SEIT","B","Full-Time"
"58",94,3,"SEIT","A","Full-Time"
"59",98,5,"SEIT","2","Full-Time"
"60",102,4,"SEIT","2","Full-Time"
"61",104,3,"SEIT","A","Full-Time"
"62",105,4,"SEIT","5","Full-Time"
"63",106,4,"SEIT","A","Full-Time"
"64",107,4,"SEIT","A","Full-Time"
"65",110,4,"SEIT","7","Full-Time"
"66",111,2,"SEIT","A","Full-Time"
"67",112,3,"SEIT","3","Full-Time"
"68",113,5,"SEIT","D","Full-Time"
"69",114,5,"SEIT","A","Full-Time"
"70",115,3,"SEIT","A","Full-Time"
"71",116,5,"SEIT","A","Full-Time"
"72",117,5,"SEIT","C","Full-Time"
"73",118,5,"SEIT","C","Full-Time"
"74",120,5,"SEIT","1","Full-Time"
"75",121,5,"SEIT","A","Full-Time"
"76",122,5,"SEIT","A","Full-Time"
"77",123,5,"SEIT","A","Full-Time"
"78",124,5,"SEIT","A","Full-Time"
"79",126,3,"SEIT","3","Part-Time"
"80",130,5,"SEIT","3","Full-Time"
"81",133,4,"SEIT","B","Full-Time"
"82",135,4,"SEIT","A","Full-Time"
"83",137,5,"SEIT","4","Full-Time"
"84",139,5,"SEIT","D","Full-Time"
"85",141,5,"SEIT","C","Full-Time"
"86",143,5,"SEIT","A","Full-Time"
"87",144,4,"SEIT","2","Full-Time"
"88",148,4,"SEIT","A","Full-Time"
"89",151,3,"SEIT","B","Full-Time"
"90",152,5,"SEIT","A","Full-Time"
"91",154,4,"SEIT","E","Full-Time"
"92",155,2,"SEIT","A","Full-Time"
"93",158,5,"SEIT","5","Full-Time"
"94",159,5,"SEIT","5","Full-Time"
"95",160,4,"SEIT","A","Full-Time"
"96",162,5,"SEIT","A","Full-Time"
"97",165,3,"SEIT","C","Full-Time"
"98",166,5,"SEIT","B","Part-Time"
"99",167,5,"SEIT","6","Full-Time"
"100",168,5,"SEIT","5","Full-Time"
"101",170,4,"SEIT","2","Full-Time"
"102",171,5,"SEIT","E","Full-Time"
"103",172,5,"SEIT","1","Full-Time"
"104",173,4,"SEIT","D","Full-Time"
"105",175,3,"SEIT","D","Full-Time"
"106",176,4,"SEIT","D","Full-Time"
"107",178,3,"SEIT","D","Full-Time"
"108",179,2,"SEIT","C","Full-Time"
"109",181,5,"SEIT","B","Full-Time"
"110",183,3,"SEIT","C","Full-Time"
"111",184,5,"SEIT","C","Full-Time"
"112",186,4,"SEIT","C","Full-Time"
"113",187,5,"SEIT","E","Full-Time"
