"","Zone","Mode","Minimum","Maximum","Mean","Distance.to.City.Campus..km.","Distance.to.ADFA.Campus..km.","Reliability","U"
"1","Belconnen","Auto",12,22,17,13.3,14.2,0.588235294117647,-4.2885
"2","Gungahlin","Auto",23,35,31,14.91,17.2,0.387096774193548,-7.7885
"3","Inner North","Auto",8,14,12,5.7,6.1,0.5,-3.0385
"4","Inner South","Auto",9,14,12,6,8.2,0.416666666666667,-3.0385
"5","Woden","Auto",10,18,15,11,15.6,0.533333333333333,-3.7885
"6","Western Creek","Auto",15,28,23,15.9,15.9,0.565217391304348,-5.7885
"7","Tuggeranong","Auto",19,35,29,19.4,22.7,0.551724137931034,-7.2885
"8","Queanbeyan","Auto",16,30,25,14.7,13.9,0.56,-6.2885
"9","Belconnen","PT_Student",31,38,33,13.3,14.2,0.212121212121212,-5.42792121212121
"10","Gungahlin","PT_Student",51,71,62,14.91,17.2,0.32258064516129,-9.77902580645161
"11","Inner North","PT_Student",23,34,29,5.7,6.1,0.379310344827586,-4.82959310344827
"12","Inner South","PT_Student",19,33,27,6,8.2,0.518518518518518,-4.53098518518518
"13","Woden","PT_Student",36,56,49,11,15.6,0.408163265306122,-7.82988163265306
"14","Western Creek","PT_Student",32,47,42,15.9,15.9,0.357142857142857,-6.77937142857143
"15","Tuggeranong","PT_Student",48,72,64,19.4,22.7,0.375,-10.07955
"16","Queanbeyan","PT_Student",34,49,44,14.7,13.9,0.340909090909091,-7.07920909090909
"17","Belconnen","PT_Staff",31,38,33,13.3,14.2,0.212121212121212,-5.63072121212121
"18","Gungahlin","PT_Staff",51,71,62,14.91,17.2,0.32258064516129,-9.98182580645161
"19","Inner North","PT_Staff",23,34,29,5.7,6.1,0.379310344827586,-5.03239310344827
"20","Inner South","PT_Staff",19,33,27,6,8.2,0.518518518518518,-4.73378518518518
"21","Woden","PT_Staff",36,56,49,11,15.6,0.408163265306122,-8.03268163265306
"22","Western Creek","PT_Staff",32,47,42,15.9,15.9,0.357142857142857,-6.98217142857143
"23","Tuggeranong","PT_Staff",48,72,64,19.4,22.7,0.375,-10.28235
"24","Queanbeyan","PT_Staff",34,49,44,14.7,13.9,0.340909090909091,-7.28200909090909
"25","Belconnen","Active",NA,NA,NA,13.3,14.2,NA,-8.811
"26","Gungahlin","Active",NA,NA,NA,14.91,17.2,NA,-9.8897
"27","Inner North","Active",NA,NA,NA,5.7,6.1,NA,-3.719
"28","Inner South","Active",NA,NA,NA,6,8.2,NA,-3.92
"29","Woden","Active",NA,NA,NA,11,15.6,NA,-7.27
"30","Western Creek","Active",NA,NA,NA,15.9,15.9,NA,-10.553
"31","Tuggeranong","Active",NA,NA,NA,19.4,22.7,NA,-12.898
"32","Queanbeyan","Active",NA,NA,NA,14.7,13.9,NA,-9.749
