"","AdmitTerm","School","Weekly mean (trips)"
"1","b Semester 1 2012","HASS",5
"2","d Semester 1 2013","SCI",3
"3","d Semester 1 2013","SEIT",3
"4","f Semester 1 2014","BUS",3
"5","f Semester 1 2014","HASS",3
"6","h Semester 1 2015","BUS",4
"7","h Semester 1 2015","HASS",4
"8","h Semester 1 2015","SEIT",3
"9","j Semester 1 2016","BUS",2.875
"10","j Semester 1 2016","HASS",3.27272727272727
"11","j Semester 1 2016","SCI",4
"12","j Semester 1 2016","SEIT",3.23333333333333
"13","l Semester 1 2017","BUS",2.95454545454545
"14","l Semester 1 2017","HASS",3.04545454545455
"15","l Semester 1 2017","SCI",4.6
"16","l Semester 1 2017","SEIT",4.41052631578947
"17","n Semester 1 2018","BUS",4.0125
"18","n Semester 1 2018","HASS",4.0379746835443
"19","n Semester 1 2018","SCI",4.20833333333333
"20","n Semester 1 2018","SEIT",4.46583850931677
"21","p Semester 1 2019","BUS",3.58620689655172
"22","p Semester 1 2019","HASS",3.67647058823529
"23","p Semester 1 2019","SCI",5
"24","p Semester 1 2019","SEIT",4.20487804878049
"25","r Semester 1 2020","BUS",3.60583941605839
"26","r Semester 1 2020","HASS",3.71851851851852
"27","r Semester 1 2020","SCI",4.58974358974359
"28","r Semester 1 2020","SEIT",3.94764397905759
"29","a Semester 2 2011","HASS",3
"30","c Semester 2 2012","SEIT",2
"31","g Semester 2 2014","BUS",1
"32","g Semester 2 2014","HASS",2.5
"33","g Semester 2 2014","SEIT",3.5
"34","i Semester 2 2015","BUS",2
"35","i Semester 2 2015","HASS",3
"36","i Semester 2 2015","SCI",3.5
"37","i Semester 2 2015","SEIT",2.75
"38","k Semester 2 2016","BUS",2.25
"39","k Semester 2 2016","HASS",3
"40","k Semester 2 2016","SCI",3.66666666666667
"41","k Semester 2 2016","SEIT",3.35714285714286
"42","m Semester 2 2017","BUS",3.2
"43","m Semester 2 2017","HASS",3.75
"44","m Semester 2 2017","SCI",5
"45","m Semester 2 2017","SEIT",3.63333333333333
"46","o Semester 2 2018","BUS",3.78571428571429
"47","o Semester 2 2018","HASS",3.40909090909091
"48","o Semester 2 2018","SCI",4.75
"49","o Semester 2 2018","SEIT",3.80357142857143
"50","q Semester 2 2019","BUS",3.3
"51","q Semester 2 2019","HASS",3.11538461538462
"52","q Semester 2 2019","SCI",3
"53","q Semester 2 2019","SEIT",3.31914893617021
